"","GAZP","MGNT","MTSS","NLMK","SBER","ret_GAZP","ret_MGNT","ret_MTSS","ret_NLMK","ret_SBER"
"2015-01-06",138.92,10400,179.9,66.7,58.28,0.0364316318852556,0.0515969842213373,0.0293309238164765,0.00624132567076519,0.0333218792335197
"2015-01-08",146.46,10627,190.05,67.41,65.7,0.052854125757051,0.021592126243231,0.0548860544787706,0.0105884219437691,0.119839944163561
"2015-01-09",141.7,10542,195,67.9,63.1,-0.0330402069362892,-0.00803065395754388,0.0257123631284886,0.00724265969930293,-0.0403781559433973
"2015-01-12",140.22,10689,193,70.12,62.9,-0.0104995289178129,0.0138478968587936,-0.0103093696588612,0.032172025488383,-0.00317460584077267
"2015-01-13",142.64,11180,204.5,72.505,60.31,0.0171113557760627,0.0449112924351454,0.0578777865779712,0.0334474649468248,-0.0420482362434997
"2015-01-14",146.3,11450,210.2,72.35,60.05,0.025335334471194,0.023863262273295,0.0274914829599942,-0.00214007192236565,-0.00432037893690307
"2015-01-15",147,11304,216.5,75.18,61.8,0.00477327875265754,-0.0128330846180216,0.0295310889996934,0.0383697850585394,0.0287258159376531
"2015-01-16",149.6,11350,215.8,75.7,61.99,0.0175324787616411,0.00406109854518455,-0.00323849461851022,0.00689292230737149,0.00306971725018279
"2015-01-19",148.11,11235,215,75.43,61.8,-0.0100098246014957,-0.0101838382901196,-0.00371402469637161,-0.00357308657786426,-0.00306971725018279
"2015-01-20",145.75,11395,214.15,76.85,60.8,-0.01606241570828,0.0141407570603551,-0.00396132406628258,0.0186503961190656,-0.016313575491524
"2015-01-21",148.8,11855,222.95,76.47,62.8,0.0207102971683906,0.0395750568197215,0.0402708270121055,-0.00495696292847114,0.0323652845020312
"2015-01-22",151.5,12070,227,79.895,64.35,0.0179825025504314,0.0179733155920712,0.0180024864079176,0.0438147655352177,0.0243818605679831
"2015-01-23",152.83,11750,228,79.505,64.45,0.00874056759032182,-0.0268697945192713,0.00439561147303813,-0.00489335982699135,0.00155279534306096
"2015-01-26",148,11540,214.25,82.845,60.49,-0.0321139187756305,-0.0180339795102142,-0.0622020714765519,0.041151479256901,-0.063411667266374
"2015-01-27",150.9,11270,215.55,86.695,61.2,0.0194050920096887,-0.0236749330282695,0.00604934371525445,0.0454248199753753,0.0116691273994576
"2015-01-28",147.7,10200,214,86.11,60.63,-0.0214341762364691,-0.09975660776146,-0.00721688617129246,-0.00677066328856224,-0.00935736943464072
"2015-01-29",145,10550,219.55,89.155,60.5,-0.01844944711676,0.0337381396318506,0.0256039819858751,0.0347508792779356,-0.00214645504684352
"2015-01-30",143.82,10590,217.85,91.995,61.5,-0.008171224746226,0.00378429969124028,-0.00777324444427485,0.0313577997600474,0.0163938097756766
"2015-02-02",138.18,10190,227.3,88.5,61.4,-0.0400053346136993,-0.0385033123786815,0.0424639782950464,-0.0387316757321736,-0.00162733965937623
"2015-02-03",140.35,10400,233.05,88.5,62,0.0155821197472426,0.0203989589126934,0.024982291960252,0,0.00972454989199534
"2015-02-04",142.6,10340,232,89.305,61.04,0.015904205172304,-0.00578593706704389,-0.00451565115244001,0.00905492534256336,-0.0156049980688904
"2015-02-05",147.6,10235,235.5,88.495,62.41,0.0344624041861765,-0.0102066499670297,0.0149735417901624,-0.00911142411372978,0.0221961319697499
"2015-02-06",151.6,11075,240.8,91.045,64.31,0.0267395610418992,0.078877096817946,0.0222557999781934,0.0284078365410894,0.029989621200821
"2015-02-09",149.3,11440,240.6,89.83,65.57,-0.0152877686631268,0.0324256700204515,-0.000830909894086851,-0.0134348945426908,0.0194031341287557
"2015-02-10",149.31,11490,230.05,89.15,65,6.69769934278364e-05,0.00436110590901251,-0.0448391269391015,-0.00759865093196588,-0.00873100437989116
"2015-02-11",150.55,11500,237.95,88.6,65.12,0.00827057338917037,0.000869943508540416,0.0337638909656421,-0.00618848669811456,0.00184445179864845
"2015-02-12",157.7,11855,250.95,88.79,67.21,0.04639923904125,0.0304026841481644,0.0531931485338228,0.00214217343320033,0.0315903242875892
"2015-02-13",162.4,12250,257.35,89.2,70.6,0.0293679337585848,0.0327762174733675,0.0251833099978214,0.00460700854172824,0.0492080985173216
"2015-02-16",160.19,11920,252.3,85.5,70,-0.0137018170141854,-0.0273082753535316,-0.0198181704517513,-0.0423646636432489,-0.00853490244983668
"2015-02-17",159.2,11820,252,85.555,72.45,-0.00619933730310951,-0.00842464965925238,-0.00118976813558902,0.000643068041219053,0.0344014267173325
"2015-02-18",163,11766,250.35,85.65,76.4,0.0235889273964798,-0.00457899553568808,-0.00656914873546999,0.00110978078619528,0.0530860274057829
"2015-02-19",160.9,11800,257,85.885,73.78,-0.0129671468084247,0.00288551502935519,0.0262161461192667,0.00273996731885973,-0.0348950040039453
"2015-02-20",158,11796,252.5,85.9,74.75,-0.0181880209713707,-0.000339040518589684,-0.0176648361798053,0.000174636901220993,0.0130615201022666
"2015-02-24",154.99,11687,250.3,84.58,73.7,-0.0192344343180073,-0.00928337800201007,-0.00875105027768619,-0.0154859969458672,-0.0141464130755047
"2015-02-25",150.7,11510,248.6,83.03,74.2,-0.0280694930765097,-0.0152608902172275,-0.00681501936111761,-0.0184958437704035,0.00676135097804309
"2015-02-26",151.65,11574,253.5,81.695,75.95,0.00628412850214044,0.00554498041785578,0.0195186439546271,-0.0162091877911523,0.0233110788684474
"2015-02-27",152.95,11305,249,81.1,75.91,0.00853583646232181,-0.0235160974217141,-0.0179109265665307,-0.00730983936141971,-0.000526801013105427
"2015-03-02",155.5,11367,247.55,82.7,76.2,0.0165346610223764,0.00546931497463987,-0.00584031465727541,0.019536640908278,0.00381303466392424
"2015-03-03",159,11650,257.25,84.94,75.55,0.022258470600943,0.0245917593071372,0.0384357929067267,0.0267255228554797,-0.00856677397385219
"2015-03-04",154,11100,252,81.75,72.31,-0.031951599806602,-0.0483610716934226,-0.0206192872027353,-0.0382793151077623,-0.0438322565318883
"2015-03-05",154.8,11360,247.5,82.15,72.7,0.00518135874199732,0.0231533049747181,-0.0180185055026785,0.00488103470591472,0.0053789523526131
"2015-03-06",152.12,11347,244.5,81.6,73.25,-0.0174642780955683,-0.00114502148415419,-0.012195273093818,-0.00671758251321641,0.00753686335770354
"2015-03-10",148.05,10820,234.5,77.6,69.8,-0.027119628512458,-0.0475571183905164,-0.0417597210285932,-0.0502618347808879,-0.0482442381288504
"2015-03-11",145.99,10835,234,80.005,70.68,-0.0140119283357123,0.00138536156998725,-0.00213447252863208,0.0305217055316644,0.012528637683169
"2015-03-12",144.7,10600,232.35,77.93,70.79,-0.00887549257445031,-0.0219276338703018,-0.00707625982671445,-0.0262781448653682,0.0015551003346026
"2015-03-13",141.8,10350,230.3,77.8,67.87,-0.020245019539411,-0.0238674814066435,-0.00886204870434781,-0.00166955667112312,-0.0421236370704312
"2015-03-16",139.75,10350,222.7,76.875,65.57,-0.0145625020628186,0,-0.0335572325633171,-0.011960705057664,-0.034475836440139
"2015-03-17",139.7,10360,220.4,77,64.65,-0.000357845772292364,0.000965717119958853,-0.0103814969845626,0.00162469572700186,-0.014130169057661
"2015-03-18",140.25,10699,227.3,77.435,65.26,0.00392927813989008,0.0321980423251329,0.0308266535797381,0.00563345291445394,0.00939118594730726
"2015-03-19",136.81,10500,227,77.455,64.9,-0.0248334424707837,-0.0187750219929921,-0.00132071337709494,0.000258247790188015,-0.00553166745512979
"2015-03-20",136,10900,238.95,78.015,67,-0.00593821619597001,0.0373875320716213,0.0513043075427646,0.00720399333481936,0.0318449956809213
"2015-03-23",134.61,10550,238.75,75.65,65,-0.0102731770800508,-0.0326369293130231,-0.000837345663327937,-0.03078367565878,-0.0303053494953289
"2015-03-24",137.15,10798,246,75.98,65.6,0.018693508727611,0.0232350718740193,0.0299145565715229,0.00435270752511396,0.00918842605440684
"2015-03-25",134.9,11000,249.65,73.76,64.8,-0.0165414541699027,0.018534341002276,0.0147284010142554,-0.029653568511141,-0.0122700925918151
"2015-03-26",132.2,11140,242.75,72.675,62.85,-0.0202178357961236,0.0126469617007672,-0.0280278297751835,-0.0148191328033986,-0.0305546683219724
"2015-03-27",134.88,11038,243,73.11,61,0.020069566835959,-0.00919836948182784,0.00102933616911383,0.00596770986028439,-0.0298770708629448
"2015-03-30",137,11185,246.3,76.6,63.01,0.0155954315745799,0.0132297299247828,0.0134888617859437,0.046631920441321,0.0324195797806528
"2015-03-31",138.9,11350,247,77.615,62.88,0.0137733239321731,0.0146441489853189,0.00283803150148554,0.0131636307318619,-0.00206529583301318
