Date,Close
2013-07-08,265.13
2013-07-09,
2013-07-10,261.5
2013-07-11,
2013-07-12,270.0
2013-07-15,271.0
2013-07-16,
2013-07-17,273.6
2013-07-18,
2013-07-19,270.03
2013-07-22,274.44
2013-07-23,
2013-07-24,
2013-07-25,283.0
2013-07-26,
2013-07-29,277.01
2013-07-30,278.6
2013-07-31,275.0
2013-08-01,282.0
2013-08-02,286.49
2013-08-05,
2013-08-06,282.12
2013-08-07,
2013-08-08,285.2
2013-08-09,290.4
2013-08-12,
2013-08-13,
2013-08-14,295.49
2013-08-15,
2013-08-16,285.7
2013-08-19,289.5
2013-08-20,
2013-08-21,298.4
2013-08-22,303.27
2013-08-23,296.01
2013-08-26,300.0
2013-08-27,293.51
2013-08-28,289.99
2013-08-29,286.01
2013-08-30,288.0
2013-09-02,283.01
2013-09-03,286.0
2013-09-04,282.96
2013-09-05,295.0
2013-09-06,297.1
2013-09-09,300.55
2013-09-10,299.04
2013-09-11,298.53
2013-09-12,298.4
2013-09-13,299.98
2013-09-16,308.2
2013-09-17,307.95
2013-09-18,308.36
2013-09-19,313.5
2013-09-20,311.8
2013-09-23,307.13
2013-09-24,311.0
2013-09-25,316.32
2013-09-26,319.5
2013-09-27,321.05
2013-09-30,323.0
2013-10-01,327.96
2013-10-02,324.0
2013-10-03,324.24
2013-10-04,327.92
2013-10-07,330.06
2013-10-08,329.97
2013-10-09,328.9
2013-10-10,333.73
2013-10-11,336.21
2013-10-14,336.8
2013-10-15,344.8
2013-10-16,351.5
2013-10-17,343.0
2013-10-18,348.5
2013-10-21,341.0
2013-10-22,345.39
2013-10-23,338.5
2013-10-24,339.21
2013-10-25,336.39
2013-10-28,337.8
2013-10-29,341.54
2013-10-30,339.97
2013-10-31,340.0
2013-11-01,338.4
2013-11-05,335.27
2013-11-06,329.53
2013-11-07,330.09
2013-11-08,328.69
2013-11-11,326.0
2013-11-12,326.09
2013-11-13,318.0
2013-11-14,320.03
2013-11-15,326.35
2013-11-18,329.03
2013-11-19,329.5
2013-11-20,321.5
2013-11-21,314.56
2013-11-22,317.99
2013-11-25,314.0
2013-11-26,318.05
2013-11-27,310.2
2013-11-28,310.5
2013-11-29,313.05
2013-12-02,312.12
2013-12-03,309.06
2013-12-04,308.28
2013-12-05,305.0
2013-12-06,317.53
2013-12-09,324.83
2013-12-10,320.61
2013-12-11,322.47
2013-12-12,317.01
2013-12-13,319.51
2013-12-16,320.49
2013-12-17,319.64
2013-12-18,319.02
2013-12-19,324.31
2013-12-20,324.2
2013-12-23,329.49
2013-12-24,329.06
2013-12-25,325.28
2013-12-26,327.6
2013-12-27,326.1
2013-12-30,328.29
2014-01-06,315.02
2014-01-08,314.63
2014-01-09,312.04
2014-01-10,313.43
2014-01-13,317.08
2014-01-14,314.51
2014-01-15,317.95
2014-01-16,312.6
2014-01-17,311.28
2014-01-20,312.09
2014-01-21,312.17
2014-01-22,307.31
2014-01-23,307.52
2014-01-24,305.6
2014-01-27,298.75
2014-01-28,299.5
2014-01-29,293.02
2014-01-30,291.29
2014-01-31,287.87
2014-02-03,289.03
2014-02-04,296.98
2014-02-05,297.99
2014-02-06,296.0
2014-02-07,299.0
2014-02-10,299.55
2014-02-11,302.5
2014-02-12,303.1
2014-02-13,294.72
2014-02-14,296.4
2014-02-17,297.34
2014-02-18,295.5
2014-02-19,287.39
2014-02-20,282.01
2014-02-21,285.59
2014-02-24,285.54
2014-02-25,281.79
2014-02-26,276.21
2014-02-27,271.39
2014-02-28,276.2
2014-03-03,239.63
2014-03-04,254.06
2014-03-05,256.5
2014-03-06,259.26
2014-03-07,252.83
2014-03-11,246.8
2014-03-12,237.5
2014-03-13,236.43
2014-03-14,235.0
2014-03-17,245.61
2014-03-18,260.71
2014-03-19,257.71
2014-03-20,259.6
2014-03-21,256.12
2014-03-24,260.08
2014-03-25,265.01
2014-03-26,271.21
2014-03-27,263.5
2014-03-28,272.58
2014-03-31,271.0
2014-04-01,271.5
2014-04-02,269.0
2014-04-03,268.5
2014-04-04,269.0
2014-04-07,259.5
2014-04-08,258.0
2014-04-09,252.0
2014-04-10,252.45
2014-04-11,253.6
2014-04-14,248.0
2014-04-15,240.0
2014-04-16,243.0
2014-04-17,248.8
2014-04-18,258.9
2014-04-21,256.0
2014-04-22,258.7
2014-04-23,258.0
2014-04-24,253.5
2014-04-25,250.53
2014-04-28,253.69
2014-04-29,257.97
2014-04-30,258.5
2014-05-02,259.9
2014-05-05,257.0
2014-05-06,258.0
2014-05-07,268.0
2014-05-08,269.37
2014-05-12,266.0
2014-05-13,270.92
2014-05-14,269.0
2014-05-15,266.57
2014-05-16,267.51
2014-05-19,270.9
2014-05-20,273.74
2014-05-21,276.3
2014-05-22,276.04
2014-05-23,280.4
2014-05-26,281.8
2014-05-27,275.0
2014-05-28,279.8
2014-05-29,284.23
2014-05-30,282.5
2014-06-02,290.0
2014-06-03,290.24
2014-06-04,290.49
2014-06-05,297.0
2014-06-06,303.3
2014-06-09,297.55
2014-06-10,296.63
2014-06-11,301.2
2014-06-16,305.75
2014-06-17,301.0
2014-06-18,303.0
2014-06-19,307.42
2014-06-20,308.0
2014-06-23,306.15
2014-06-24,316.0
2014-06-25,302.71
2014-06-26,299.6
2014-06-27,305.99
2014-06-30,302.01
2014-07-01,307.2
2014-07-02,315.78
2014-07-03,324.0
2014-07-04,298.52
2014-07-07,304.65
2014-07-08,296.15
2014-07-09,296.7
2014-07-10,292.51
2014-07-11,296.9
2014-07-14,298.49
2014-07-15,298.36
2014-07-16,298.0
2014-07-17,290.38
2014-07-18,286.8
2014-07-21,275.2
2014-07-22,276.5
2014-07-23,272.98
2014-07-24,271.99
2014-07-25,266.99
2014-07-28,260.5
2014-07-29,269.3
2014-07-30,271.52
2014-07-31,275.91
2014-08-01,278.6
2014-08-04,282.16
2014-08-05,275.0
2014-08-06,268.0
2014-08-07,268.79
2014-08-08,274.85
2014-08-11,276.0
2014-08-12,280.6
2014-08-13,288.5
2014-08-14,294.0
2014-08-15,298.0
2014-08-18,293.0
2014-08-19,290.25
2014-08-20,292.21
2014-08-21,297.46
2014-08-22,291.13
2014-08-25,294.5
2014-08-26,293.22
2014-08-27,299.01
2014-08-28,295.8
2014-08-29,281.87
2014-09-01,278.5
2014-09-02,282.0
2014-09-03,286.0
2014-09-04,290.13
2014-09-05,298.0
2014-09-08,297.22
2014-09-09,296.5
2014-09-10,292.78
2014-09-11,293.0
