Date,Close
2014-06-09,296.5
2014-06-10,293.4
2014-06-11,292.5
2014-06-16,285.4
2014-06-17,286.5
2014-06-18,291.9
2014-06-19,294.0
2014-06-20,286.2
2014-06-23,285.1
2014-06-24,291.8
2014-06-25,284.5
2014-06-26,280.1
2014-06-27,280.6
2014-06-30,279.0
2014-07-01,278.7
2014-07-02,285.7
2014-07-03,288.7
2014-07-04,283.4
2014-07-07,289.5
2014-07-08,293.0
2014-07-09,291.4
2014-07-10,287.8
2014-07-11,290.9
2014-07-14,293.5
2014-07-15,298.2
2014-07-16,304.5
2014-07-17,303.9
2014-07-18,302.0
2014-07-21,303.9
2014-07-22,311.7
2014-07-23,310.0
2014-07-24,310.5
2014-07-25,310.1
2014-07-28,307.9
2014-07-29,320.0
2014-07-30,331.3
2014-07-31,343.0
2014-08-01,344.9
2014-08-04,343.1
2014-08-05,333.1
2014-08-06,328.3
2014-08-07,330.7
2014-08-08,334.1
2014-08-11,337.5
2014-08-12,334.1
2014-08-13,338.5
2014-08-14,338.7
2014-08-15,340.0
2014-08-18,343.1
2014-08-19,353.9
2014-08-20,362.6
2014-08-21,363.1
2014-08-22,360.5
2014-08-25,359.5
2014-08-26,363.8
2014-08-27,359.4
2014-08-28,355.6
2014-08-29,359.5
2014-09-01,358.0
2014-09-02,357.1
2014-09-03,371.7
2014-09-04,370.0
2014-09-05,369.0
2014-09-08,366.0
2014-09-09,366.1
2014-09-10,362.3
2014-09-11,362.2
2014-09-12,366.7
2014-09-15,370.7
2014-09-16,378.3
2014-09-17,377.5
2014-09-18,382.0
2014-09-19,383.7
2014-09-22,378.0
2014-09-23,380.7
2014-09-24,379.6
2014-09-25,379.9
2014-09-26,390.7
2014-09-29,394.3
2014-09-30,393.5
2014-10-01,393.0
2014-10-02,389.55
2014-10-03,380.65
2014-10-06,386.5
2014-10-07,384.95
2014-10-08,380.4
2014-10-09,382.5
2014-10-10,400.0
2014-10-13,411.9
2014-10-14,409.0
2014-10-15,406.1
2014-10-16,408.55
2014-10-17,410.15
2014-10-20,414.3
2014-10-21,428.9
2014-10-22,421.0
2014-10-23,422.0
2014-10-24,424.0
2014-10-27,429.25
2014-10-28,434.85
2014-10-29,443.0
2014-10-30,445.3
2014-10-31,457.1
2014-11-03,473.8
2014-11-05,488.7
2014-11-06,502.5
2014-11-07,508.05
2014-11-10,506.8
2014-11-11,494.95
2014-11-12,487.2
2014-11-13,490.1
2014-11-14,496.0
2014-11-17,493.3
2014-11-18,499.2
2014-11-19,498.0
2014-11-20,501.0
2014-11-21,525.0
2014-11-24,450.4
2014-11-25,446.15
2014-11-26,446.8
2014-11-27,441.0
2014-11-28,454.75
2014-12-01,484.15
2014-12-02,486.6
2014-12-03,497.1
2014-12-04,488.1
2014-12-05,471.5
2014-12-08,467.05
2014-12-09,489.0
2014-12-10,504.5
2014-12-11,498.9
2014-12-12,511.0
2014-12-15,525.85
2014-12-16,530.5
2014-12-17,511.0
2014-12-18,505.15
2014-12-19,490.2
2014-12-22,491.3
2014-12-23,468.8
2014-12-24,484.0
2014-12-25,472.15
2014-12-26,483.45
2014-12-29,503.0
2014-12-30,501.9
2015-01-05,522.0
2015-01-06,556.9
2015-01-08,542.7
2015-01-09,548.55
2015-01-12,558.45
2015-01-13,583.0
2015-01-14,595.0
2015-01-15,577.0
2015-01-16,587.9
2015-01-19,589.0
2015-01-20,586.9
2015-01-21,592.0
2015-01-22,599.5
2015-01-23,587.0
2015-01-26,616.15
2015-01-27,632.5
2015-01-28,630.85
2015-01-29,634.2
2015-01-30,642.35
2015-02-02,645.9
2015-02-03,632.0
2015-02-04,656.0
2015-02-05,663.4
2015-02-06,701.2
2015-02-09,696.0
2015-02-10,688.0
2015-02-11,695.0
2015-02-12,713.0
2015-02-13,711.5
2015-02-16,685.0
2015-02-17,698.6
2015-02-18,702.0
2015-02-19,706.0
2015-02-20,704.9
2015-02-24,698.1
2015-02-25,689.0
2015-02-26,684.0
2015-02-27,682.0
2015-03-02,707.6
2015-03-03,738.45
2015-03-04,730.0
2015-03-05,730.05
2015-03-06,721.0
2015-03-10,710.35
2015-03-11,734.5
2015-03-12,710.0
2015-03-13,708.1
2015-03-16,708.6
2015-03-17,692.8
2015-03-18,690.0
2015-03-19,680.75
2015-03-20,683.0
2015-03-23,674.5
2015-03-24,661.7
2015-03-25,658.15
2015-03-26,636.9
2015-03-27,642.8
2015-03-30,657.0
2015-03-31,658.0
2015-04-01,644.5
2015-04-02,643.0
2015-04-03,641.05
2015-04-06,638.2
2015-04-07,636.9
2015-04-08,620.0
2015-04-09,612.6
2015-04-10,607.0
2015-04-13,604.5
2015-04-14,590.0
2015-04-15,580.95
2015-04-16,566.55
2015-04-17,563.0
2015-04-20,564.95
2015-04-21,569.0
2015-04-22,572.6
2015-04-23,548.7
2015-04-24,550.0
2015-04-27,565.1
2015-04-28,575.3
2015-04-29,570.6
2015-04-30,578.55
2015-05-05,576.5
2015-05-06,571.8
2015-05-07,583.0
2015-05-08,589.8
2015-05-12,617.0
2015-05-13,595.7
2015-05-14,620.3
2015-05-15,621.7
2015-05-18,605.2
2015-05-19,603.9
2015-05-20,596.6
2015-05-21,615.1
2015-05-22,617.6
2015-05-25,613.8
2015-05-26,617.2
2015-05-27,630.9
2015-05-28,629.2
2015-05-29,608.4
2015-06-01,611.1
2015-06-02,615.0
2015-06-03,622.0
2015-06-04,607.9
2015-06-05,618.1
2015-06-08,624.9
2015-06-09,626.9
2015-06-10,604.1
2015-06-11,594.2
2015-06-15,599.0
2015-06-16,596.1
2015-06-17,587.3
2015-06-18,582.0
2015-06-19,585.4
2015-06-22,596.9
2015-06-23,595.0
2015-06-24,577.1
2015-06-25,577.8
2015-06-26,585.0
2015-06-29,594.3
2015-06-30,594.0
2015-07-01,585.3
2015-07-02,592.5
2015-07-03,593.5
2015-07-06,605.7
2015-07-07,602.4
2015-07-08,588.5
2015-07-09,579.3
2015-07-10,580.0
2015-07-13,586.8
2015-07-14,594.0
2015-07-15,595.0
2015-07-16,596.4
2015-07-17,592.2
2015-07-20,594.0
2015-07-21,598.8
2015-07-22,612.4
2015-07-23,609.6
2015-07-24,623.9
2015-07-27,632.0
2015-07-28,647.6
2015-07-29,650.3
2015-07-30,663.6
2015-07-31,687.5
2015-08-03,692.0
2015-08-04,695.0
2015-08-05,687.5
2015-08-06,681.0
2015-08-07,677.1
2015-08-10,675.3
2015-08-11,682.0
2015-08-12,687.9
2015-08-13,696.8
2015-08-14,705.1
2015-08-17,706.7
2015-08-18,695.1
2015-08-19,706.7
2015-08-20,723.1
2015-08-21,719.1
2015-08-24,723.8
2015-08-25,707.0
2015-08-26,700.1
