Date,Close
2014-06-09,6.835
2014-06-10,6.762
2014-06-11,6.77
2014-06-16,6.848
2014-06-17,6.857
2014-06-18,6.8
2014-06-19,6.773
2014-06-20,6.728
2014-06-23,6.601
2014-06-24,6.699
2014-06-25,6.56
2014-06-26,6.628
2014-06-27,6.67
2014-06-30,6.693
2014-07-01,6.679
2014-07-02,6.798
2014-07-03,6.814
2014-07-04,6.699
2014-07-07,6.775
2014-07-08,6.763
2014-07-09,6.816
2014-07-10,6.744
2014-07-11,6.693
2014-07-14,6.646
2014-07-15,6.8
2014-07-16,6.92
2014-07-17,6.887
2014-07-18,6.82
2014-07-21,6.502
2014-07-22,6.556
2014-07-23,6.463
2014-07-24,6.681
2014-07-25,6.63
2014-07-28,6.49
2014-07-29,6.595
2014-07-30,6.681
2014-07-31,6.78
2014-08-01,6.757
2014-08-04,6.78
2014-08-05,6.758
2014-08-06,6.46
2014-08-07,6.38
2014-08-08,6.627
2014-08-11,6.784
2014-08-12,6.751
2014-08-13,6.794
2014-08-14,6.79
2014-08-15,6.82
2014-08-18,6.789
2014-08-19,6.871
2014-08-20,7.42
2014-08-21,7.418
2014-08-22,7.35
2014-08-25,7.55
2014-08-26,7.396
2014-08-27,7.439
2014-08-28,7.334
2014-08-29,7.347
2014-09-01,7.178
2014-09-02,7.264
2014-09-03,7.459
2014-09-04,7.506
2014-09-05,7.478
2014-09-08,7.464
2014-09-09,7.498
2014-09-10,7.428
2014-09-11,7.353
2014-09-12,7.576
2014-09-15,7.683
2014-09-16,7.8
2014-09-17,7.789
2014-09-18,7.73
2014-09-19,7.879
2014-09-22,7.75
2014-09-23,7.718
2014-09-24,7.75
2014-09-25,7.7
2014-09-26,7.77
2014-09-29,7.8
2014-09-30,7.802
2014-10-01,7.72
2014-10-02,7.815
2014-10-03,7.93
2014-10-06,7.977
2014-10-07,8.0
2014-10-08,8.019
2014-10-09,7.999
2014-10-10,7.904
2014-10-13,8.006
2014-10-14,8.19
2014-10-15,8.166
2014-10-16,8.16
2014-10-17,8.176
2014-10-20,8.188
2014-10-21,8.241
2014-10-22,7.98
2014-10-23,7.654
2014-10-24,7.956
2014-10-27,8.571
2014-10-28,9.15
2014-10-29,9.312
2014-10-30,9.2
2014-10-31,9.417
2014-11-03,9.727
2014-11-05,10.09
2014-11-06,10.04
2014-11-07,10.122
2014-11-10,11.13
2014-11-11,11.4
2014-11-12,11.401
2014-11-13,11.01
2014-11-14,11.19
2014-11-17,11.685
2014-11-18,11.77
2014-11-19,12.501
2014-11-20,12.62
2014-11-21,12.805
2014-11-24,12.501
2014-11-25,12.41
2014-11-26,12.1
2014-11-27,11.4
2014-11-28,12.481
2014-12-01,12.601
2014-12-02,13.13
2014-12-03,13.41
2014-12-04,13.819
2014-12-05,13.185
2014-12-08,12.816
2014-12-09,13.25
