Date,Close
2014-06-09,49.42
2014-06-10,48.6
2014-06-11,48.33
2014-06-16,48.3
2014-06-17,48.39
2014-06-18,49.17
2014-06-19,48.97
2014-06-20,47.8
2014-06-23,46.85
2014-06-24,47.46
2014-06-25,45.8
2014-06-26,45.75
2014-06-27,47.0
2014-06-30,47.38
2014-07-01,47.72
2014-07-02,48.8
2014-07-03,49.69
2014-07-04,49.09
2014-07-07,50.1
2014-07-08,49.97
2014-07-09,49.53
2014-07-10,48.4
2014-07-11,48.9
2014-07-14,48.9
2014-07-15,49.47
2014-07-16,49.99
2014-07-17,49.9
2014-07-18,48.79
2014-07-21,46.28
2014-07-22,47.72
2014-07-23,47.36
2014-07-24,47.92
2014-07-25,47.27
2014-07-28,46.2
2014-07-29,47.65
2014-07-30,47.6
2014-07-31,47.5
2014-08-01,47.3
2014-08-04,47.73
2014-08-05,47.0
2014-08-06,46.62
2014-08-07,46.83
2014-08-08,48.32
2014-08-11,49.5
2014-08-12,48.99
2014-08-13,51.33
2014-08-14,50.81
2014-08-15,51.4
2014-08-18,51.28
2014-08-19,52.83
2014-08-20,53.93
2014-08-21,53.9
2014-08-22,54.1
2014-08-25,54.29
2014-08-26,53.83
2014-08-27,54.08
2014-08-28,53.58
2014-08-29,53.26
2014-09-01,52.36
2014-09-02,52.65
2014-09-03,54.39
2014-09-04,54.62
2014-09-05,54.55
2014-09-08,55.19
2014-09-09,54.55
2014-09-10,54.1
2014-09-11,54.0
2014-09-12,54.9
2014-09-15,55.26
2014-09-16,57.05
2014-09-17,57.34
2014-09-18,56.65
2014-09-19,56.34
2014-09-22,56.26
2014-09-23,56.23
2014-09-24,56.26
2014-09-25,56.1
2014-09-26,56.9
2014-09-29,56.22
2014-09-30,57.62
2014-10-01,57.82
2014-10-02,56.93
2014-10-03,55.645
2014-10-06,55.865
2014-10-07,55.0
2014-10-08,54.65
2014-10-09,54.17
2014-10-10,53.305
2014-10-13,53.0
2014-10-14,52.75
2014-10-15,51.56
2014-10-16,51.85
2014-10-17,50.285
2014-10-20,49.925
2014-10-21,48.75
2014-10-22,48.84
2014-10-23,49.1
2014-10-24,50.62
2014-10-27,52.26
2014-10-28,52.4
2014-10-29,55.15
2014-10-30,54.88
2014-10-31,55.055
2014-11-03,55.8
2014-11-05,57.485
2014-11-06,56.98
2014-11-07,57.575
2014-11-10,60.25
2014-11-11,61.37
2014-11-12,59.685
2014-11-13,58.58
2014-11-14,59.355
2014-11-17,59.82
2014-11-18,60.375
2014-11-19,61.5
2014-11-20,60.65
2014-11-21,60.51
2014-11-24,58.775
2014-11-25,60.095
2014-11-26,59.56
2014-11-27,58.59
2014-11-28,60.43
2014-12-01,63.15
2014-12-02,63.37
2014-12-03,64.7
2014-12-04,61.6
2014-12-05,60.71
2014-12-08,58.465
2014-12-09,59.89
2014-12-10,60.795
2014-12-11,60.755
2014-12-12,60.61
2014-12-15,63.08
2014-12-16,68.195
2014-12-17,68.6
2014-12-18,71.015
2014-12-19,68.785
2014-12-22,68.35
2014-12-23,66.0
2014-12-24,67.95
2014-12-25,70.0
2014-12-26,68.88
2014-12-29,67.185
2014-12-30,66.79
2015-01-05,66.285
2015-01-06,66.7
2015-01-08,67.41
2015-01-09,67.9
2015-01-12,70.12
2015-01-13,72.505
2015-01-14,72.35
2015-01-15,75.18
2015-01-16,75.7
2015-01-19,75.43
2015-01-20,76.85
2015-01-21,76.47
2015-01-22,79.895
2015-01-23,79.505
2015-01-26,82.845
2015-01-27,86.695
2015-01-28,86.11
2015-01-29,89.155
2015-01-30,91.995
2015-02-02,88.5
2015-02-03,88.5
2015-02-04,89.305
2015-02-05,88.495
2015-02-06,91.045
2015-02-09,89.83
2015-02-10,89.15
2015-02-11,88.6
2015-02-12,88.79
2015-02-13,89.2
2015-02-16,85.5
2015-02-17,85.555
2015-02-18,85.65
2015-02-19,85.885
2015-02-20,85.9
2015-02-24,84.58
2015-02-25,83.03
2015-02-26,81.695
2015-02-27,81.1
2015-03-02,82.7
2015-03-03,84.94
2015-03-04,81.75
2015-03-05,82.15
2015-03-06,81.6
2015-03-10,77.6
2015-03-11,80.005
2015-03-12,77.93
2015-03-13,77.8
2015-03-16,76.875
2015-03-17,77.0
2015-03-18,77.435
2015-03-19,77.455
2015-03-20,78.015
2015-03-23,75.65
2015-03-24,75.98
