"","GAZP","SBER","GMKN","MGNT"
"2020-05-25",197.55,191,22394,3635
"2020-05-26",196.86,194,22118,3615.5
"2020-05-27",194.73,198.51,22110,3744.5
"2020-05-28",196.86,205,22544,3827
"2020-05-29",199.95,200.5,22110,3740
"2020-06-01",198.72,203.66,22026,3832
"2020-06-02",201.97,212,22220,3899.5
"2020-06-03",208,221.5,21824,3869
"2020-06-04",201.46,213.1,20000,3836
"2020-06-05",203.05,219.1,20400,3846
"2020-06-08",204.91,220.3,20502,3950
"2020-06-09",204.84,217.23,20248,3929
"2020-06-10",201.75,212.53,20240,3995
"2020-06-11",196.74,208.35,19482,4004
"2020-06-15",194.2,207.32,19058,3985.5
"2020-06-16",196.59,207.76,19472,3950
"2020-06-17",195.86,208.14,19256,3945
"2020-06-18",193,203.77,18926,3820
"2020-06-19",195.81,207,19004,3980
"2020-06-22",194.3,206.4,19122,4076
"2020-06-23",194.83,207.3,19636,4115
"2020-06-25",192.25,206.92,19850,4140.5
"2020-06-26",193,203.15,19678,4180.5
"2020-06-29",197.94,205.8,19196,4156.5
"2020-06-30",194.31,203.22,18784,4035
"2020-07-02",195.28,209.6,18754,4202
"2020-07-03",197.2,210.95,19000,4222
"2020-07-06",199.99,214.61,18260,4332
"2020-07-07",197.96,210.53,18574,4242
"2020-07-08",201.17,210.97,18970,4225
"2020-07-09",199.44,209.11,18596,4337
"2020-07-10",200.94,212.28,18550,4307
"2020-07-13",195.7,208.39,17946,4291
"2020-07-14",193.6,209.5,17826,4259.5
"2020-07-15",182.26,211.09,17978,4298
"2020-07-16",183.32,211.35,18112,4303.5
"2020-07-17",184.65,210.81,18350,4302
"2020-07-20",188.36,213.89,18394,4476.5
"2020-07-21",186.78,215.73,18380,4648
"2020-07-22",187.15,216.71,18234,4690
"2020-07-23",184.69,215.41,18724,4720
"2020-07-24",185.45,215.97,19060,4782.5
"2020-07-27",185.03,216.9,19790,4752
"2020-07-28",184.3,215.53,19618,4768
"2020-07-29",184.69,219.18,19808,4698
"2020-07-30",182.52,218.15,19620,4675.5
"2020-07-31",182.59,221.57,19650,4586
"2020-08-03",183.6,226.72,20018,4614
"2020-08-04",183.31,227.16,20398,4658.5
"2020-08-05",189.15,226.4,20886,4632
"2020-08-06",189.07,226,20842,4606.5
"2020-08-07",187.23,227.28,20438,4618
"2020-08-10",187.7,225.99,20612,4613.5
"2020-08-11",189.7,232.65,20426,4622
"2020-08-12",192.8,242.4,20770,4619.5
"2020-08-13",193.76,241.39,20930,4738.5
"2020-08-14",192.83,239.99,20786,4763.5
"2020-08-17",190.47,237.8,20710,4688
"2020-08-18",190.3,236.3,20798,4690.5
"2020-08-19",189.26,239.4,20500,4671.5
"2020-08-20",186.95,232.48,19988,4561.5
"2020-08-21",184.51,231.22,19942,4523
"2020-08-24",187.1,231.81,20000,4608
"2020-08-25",186.25,228.08,19830,4642.5
"2020-08-26",187.48,227.8,19976,4666
"2020-08-27",184.58,226.23,19670,4728
"2020-08-28",182.9,226.3,19364,4581.5
"2020-08-31",181.01,226.1,19394,4474.5
"2020-09-01",184.22,227.64,19930,4497.5
"2020-09-02",181.95,222.57,19916,4564.5
"2020-09-03",179.13,218.32,19838,4565
"2020-09-04",179.55,222.21,19924,4590.5
"2020-09-07",177.04,221.32,20006,4558.5
"2020-09-08",172.95,217.68,19890,4535
"2020-09-09",173.69,218,19708,4456
"2020-09-10",173.8,220.6,19528,4475
"2020-09-11",178.05,221.07,19354,4663.5
"2020-09-14",178.19,227.37,19492,4671.5
"2020-09-15",182.22,231.5,19634,4724.5
"2020-09-16",183.26,231.06,19270,4710
"2020-09-17",183.9,231.46,19370,4863
"2020-09-18",181.52,230.3,19300,4805
"2020-09-21",177.17,226.25,18694,4772.5
"2020-09-22",179,229.88,18758,4962
"2020-09-23",177,228.5,18860,4989.5
"2020-09-24",174.23,228.17,18780,5057
"2020-09-25",173.77,228.24,18888,5025
"2020-09-28",172.74,228.63,18826,5080
"2020-09-29",171.44,225.48,18800,4965.5
"2020-09-30",169.97,229.14,18762,4956
"2020-10-01",168.4,227.23,18726,4896
"2020-10-02",169.47,208.8,18840,4906.5
"2020-10-05",170.64,208.89,19282,4895
"2020-10-06",171.35,211.18,18782,4879
"2020-10-07",168.23,210.6,18654,4766.5
"2020-10-08",167.43,207.97,18924,4722
"2020-10-09",166.97,205.38,19450,4690.5
"2020-10-12",169.05,206.18,19534,4859
"2020-10-13",166.37,205.03,19604,4837
"2020-10-14",167.24,207.83,19792,4912
"2020-10-15",167.16,203.85,19680,4741
"2020-10-16",163.98,201.17,19682,4782
"2020-10-19",163.6,202.78,19858,4914.5
"2020-10-20",166.53,209.54,20192,4910.5
"2020-10-21",164.37,210.33,19828,4863
"2020-10-22",165.27,210.21,19672,4900.5
"2020-10-23",164.96,214.5,19838,4855.5
"2020-10-26",162.17,211.1,19514,4799.5
"2020-10-27",159.21,207.64,19150,4784
"2020-10-28",154.3,204.73,18548,4702
"2020-10-29",156.74,205.58,18998,4659
"2020-10-30",154.28,200.99,18864,4706
"2020-11-02",157.74,204.5,19334,4829
"2020-11-03",161.09,209.2,19512,4770
"2020-11-05",163.7,216.7,19684,4741.5
"2020-11-06",164.92,217.5,20138,4796
"2020-11-09",170.13,228.05,20590,4893.5
"2020-11-10",172.92,236.1,20626,4945
"2020-11-11",170.53,244.2,20510,4780
"2020-11-12",172.91,242.08,20448,4910
"2020-11-13",180.3,242.99,20486,4932
"2020-11-16",185.32,247.99,20780,4982
"2020-11-17",182.9,245.7,20602,4891.5
"2020-11-18",185,242.71,20720,4980
"2020-11-19",184.16,240.27,20660,5012.5
"2020-11-20",183.21,239.42,20734,4933
"2020-11-23",184.15,239.7,21028,4945
"2020-11-24",186.76,247.33,21578,4910
"2020-11-25",188.03,251.91,21460,4891.5
"2020-11-26",185.52,250.1,21570,4971.5
"2020-11-27",185.9,251.59,21720,4985.5
"2020-11-30",181.89,249.63,21476,4979
"2020-12-01",185.34,260.81,21908,5019.5
"2020-12-02",187.22,264.06,22906,4995
"2020-12-03",185.12,263.14,23136,5008
"2020-12-04",188.79,270,23188,4992.5
"2020-12-07",190.76,274.36,23084,5008
"2020-12-08",190,275.49,22842,5040.5
"2020-12-09",189.35,276.89,23170,5384
"2020-12-10",192.95,282.2,24048,5384.5
"2020-12-11",201.5,283.73,24056,5381
"2020-12-14",199.91,279.95,23944,5512
"2020-12-15",201,278.7,23692,5494
"2020-12-16",206.2,278.35,23378,5432
"2020-12-17",214.52,278.5,23472,5421
"2020-12-18",212.69,270.16,23438,5449
"2020-12-21",203.46,261.79,23400,5362
"2020-12-22",208.4,262.04,23760,5346
"2020-12-23",207.63,270.1,23386,5356
"2020-12-24",206.24,269.32,23220,5424.5
"2020-12-25",205.03,270.64,23340,5474.5
"2020-12-28",206.11,274.7,23620,5599
"2020-12-29",208.75,272,23528,5643
"2020-12-30",212.98,271.65,23682,5685.5
"2021-01-04",212.71,272,24314,5744
"2021-01-05",215.32,275.2,24676,5762.5
"2021-01-06",214.38,272.93,25024,5534
"2021-01-08",225.49,283.64,26544,5478
"2021-01-11",227.6,289.49,26290,5484.5
"2021-01-12",228.69,289.99,25934,5450.5
"2021-01-13",226.8,283.78,25976,5410
"2021-01-14",228.86,284.79,26432,5375.5
"2021-01-15",226.5,276.9,25796,5210
"2021-01-18",226.88,279.79,25874,5219
"2021-01-19",223.15,278.19,25826,5183.5
"2021-01-20",224.3,279.8,26550,5161.5
"2021-01-21",217.28,274.4,26538,5060
"2021-01-22",215.49,268.25,26172,4991
"2021-01-25",218.68,265.3,25982,5168.5
"2021-01-26",218.8,269.34,25768,5175
"2021-01-27",217.4,265.5,24996,5087.5
"2021-01-28",217.7,265.96,25230,5060
"2021-01-29",212.83,258.11,24364,4924
"2021-02-01",214.66,263.8,24866,4948.5
"2021-02-02",214.42,263.15,24770,5014.5
"2021-02-03",218.1,263.53,25312,5048.5
"2021-02-04",219.79,270.11,25766,5062.5
"2021-02-05",222.01,271.7,25478,4996
"2021-02-08",228,275.2,25804,5107.5
"2021-02-09",227.73,268.98,25458,5273
"2021-02-10",223.24,265.9,25342,5197
"2021-02-11",221.35,264.7,25432,5117.5
"2021-02-12",226.71,266,25390,5169
"2021-02-15",229.22,271.81,26328,5280
"2021-02-16",232.46,270.9,26208,5297.5
"2021-02-17",229.14,270.9,26488,5260
"2021-02-18",224.47,266.99,26702,5155.5
"2021-02-19",226,271.34,28130,5172.5
"2021-02-20",225.84,270.51,27088,5149.5
"2021-02-22",225.63,273.71,26156,5098
"2021-02-24",222.55,271.9,24846,5008
"2021-02-25",221.7,270.71,23204,4919.5
"2021-02-26",217.56,270.17,23502,4929
"2021-03-01",221.47,273.58,24268,4970.5
"2021-03-02",222.74,279.1,23774,5068.5
"2021-03-03",222.15,278.01,23304,5030
"2021-03-04",221.14,274.75,22172,4965.5
"2021-03-05",227,277.5,22348,5010
"2021-03-09",232.1,285.79,22954,4980.5
"2021-03-10",231.69,282.24,23164,5070
"2021-03-11",232.47,286,23396,5096.5
"2021-03-12",233.8,284.93,23746,5135.5
"2021-03-15",237.79,292.74,24114,5217.5
"2021-03-16",234.02,292.33,22846,5170.5
"2021-03-17",229.9,283.35,22878,5274.5
"2021-03-18",224.35,279.25,22596,5362
"2021-03-19",225.4,285.47,22686,5428.5
"2021-03-22",221.88,288.65,22766,5409
"2021-03-23",221.62,282.6,22238,5300.5
"2021-03-24",223.65,285.79,21326,5354.5
"2021-03-25",224.84,286.66,21252,5294.5
"2021-03-26",227.3,291.22,22206,5348
"2021-03-29",228.74,293.3,23116,5300
"2021-03-30",225.93,293.25,23172,5281
"2021-03-31",227.24,291.02,23704,5344.5
"2021-04-01",226.94,290.24,23776,5293.5
"2021-04-02",228.4,291.7,23860,5301.5
"2021-04-05",225.06,288.78,23736,5254.5
"2021-04-06",222.95,281.5,23180,5110.5
"2021-04-07",224.51,283.98,23602,5080
"2021-04-08",224.3,283.89,23924,5099
"2021-04-09",222.15,281.07,24410,5135
"2021-04-12",222.87,281.75,25432,5180
"2021-04-13",227.99,287.95,25384,5134.5
"2021-04-14",235.32,287.18,24886,5095
"2021-04-15",234.63,283.72,25112,5111.5
"2021-04-16",235.1,288.5,25480,5111.5
"2021-04-19",231.17,287.72,25240,5095.5
"2021-04-20",230,287.42,25202,5086
"2021-04-21",230.84,289.25,25308,5140
"2021-04-22",230.93,292.18,25690,5153.5
"2021-04-23",232.62,293.19,25770,5258
"2021-04-26",233.23,295.27,26444,5277
"2021-04-27",232,298.5,26952,5255
"2021-04-28",232.96,298.49,26326,5226
"2021-04-29",230.51,297.1,26334,5113.5
"2021-04-30",231.38,297.73,25732,5119
"2021-05-04",233.8,303.7,26202,5195
"2021-05-05",237.5,305.99,26646,5211
"2021-05-06",243,314.72,26824,5170
"2021-05-07",241.7,317.94,27000,5129.5
"2021-05-10",241.41,320.19,27046,5091.5
"2021-05-11",242.5,307.16,27338,5156
"2021-05-12",241.79,302.02,27266,5099.5
"2021-05-13",247.16,306.74,27388,5122
"2021-05-14",249.55,304.1,27390,5155.5
"2021-05-17",255.15,303.94,27352,5149.5
"2021-05-18",266.22,305.78,27352,5256
"2021-05-19",260.9,297,27110,5226.5
"2021-05-20",259.16,296.72,27156,5161
"2021-05-21",258,301.23,27064,5300.5
"2021-05-24",261.24,300.7,26982,5282
"2021-05-25",259.79,306.8,26730,5331
"2021-05-26",263.09,307.01,26986,5346.5
"2021-05-27",262.96,312.72,26994,5362
"2021-05-28",262,309.56,27134,5409.5
"2021-05-31",261.03,310.79,26404,5460.5
"2021-06-01",263.86,311.6,26750,5469.5
"2021-06-02",271.15,313.98,26944,5471.5
"2021-06-03",272.1,312.41,26630,5459
"2021-06-04",274.3,310.94,26400,5445
"2021-06-07",275.67,315.53,26246,5417
"2021-06-08",275.36,314.83,26072,5396
"2021-06-09",275.65,314.78,26502,5384.5
"2021-06-10",276.1,314.62,26192,5379.5
"2021-06-11",277.05,313,26178,5405
"2021-06-14",279.5,314.12,26314,5449
"2021-06-15",272.72,312.51,26054,5457.5
"2021-06-16",271.8,311.61,25664,5486
"2021-06-17",272.5,313.9,24970,5559
"2021-06-18",270.06,309.3,25000,5605
"2021-06-21",272.62,310.4,25372,5650
"2021-06-22",277,309.73,25078,5606
"2021-06-23",277.35,309.79,25336,5569
"2021-06-24",277.47,310,24358,5319.5
"2021-06-25",277.19,311.81,24734,5324.5
"2021-06-28",276.99,309.48,24948,5302.5
"2021-06-29",276.8,306.1,24702,5324
"2021-06-30",281.8,306.45,24812,5301
"2021-07-01",285.74,305.78,24612,5282.5
"2021-07-02",285.65,307.39,25014,5250
"2021-07-05",291.1,307,24924,5232
"2021-07-06",293.45,303.34,24462,5241
"2021-07-07",297.39,304.06,24658,5310
"2021-07-08",292.86,302.63,24514,5344
"2021-07-09",295.22,303.56,24780,5322.5
"2021-07-12",297.39,306.23,25112,5365
"2021-07-13",293.83,303,25662,5416.5
"2021-07-14",284.6,301.5,25734,5385
"2021-07-15",280.01,301.72,25624,5308
"2021-07-16",279.65,298.85,25248,5235
"2021-07-19",275.51,291.46,25046,5099
"2021-07-20",277.3,296.1,25138,5096.5
"2021-07-21",282.9,294.86,25050,5142
"2021-07-22",283.28,297.27,25080,5128
"2021-07-23",279.51,296.38,24990,5130
"2021-07-26",281.05,303.34,25180,5215
"2021-07-27",278.08,299.71,25432,5198.5
"2021-07-28",282.2,302.9,25690,5265
"2021-07-29",287,303.12,25178,5347
"2021-07-30",287.35,305.59,25318,5337
"2021-08-02",286.75,306.51,25290,5321
"2021-08-03",287.09,309.89,25582,5383
"2021-08-04",287.94,311.1,25446,5415
"2021-08-05",285.95,315.82,25496,5489.5
"2021-08-06",282.27,319.15,25102,5458.5
"2021-08-09",286.68,326.91,24870,5457
"2021-08-10",288.61,330.11,24650,5458
"2021-08-11",290.35,329.9,24528,5465
"2021-08-12",293.23,328.57,24700,5537.5
"2021-08-13",292.7,328.68,24460,5504.5
"2021-08-16",295.1,329.36,24426,5466
"2021-08-17",298.32,334.5,24572,5523.5
"2021-08-18",295.05,334.9,24146,5555
"2021-08-19",293.68,332.69,23736,5573
"2021-08-20",292.57,325.67,23550,5532
"2021-08-23",297.69,329.22,23858,5545
"2021-08-24",298.7,324.83,24066,5634
"2021-08-25",296.7,324.57,23932,5583
"2021-08-26",294.34,322.54,23712,5619
"2021-08-27",299.66,327.41,23986,5601
"2021-08-30",305.17,328.28,24266,5591
"2021-08-31",305.65,327.94,24032,5539.5
"2021-09-01",312.89,334.57,24228,5547.5
"2021-09-02",312.3,329,23880,5565.5
"2021-09-03",317.94,329.71,24442,5517.5
"2021-09-06",328.93,329.37,24658,5440
"2021-09-07",327.73,325.96,24376,5337
"2021-09-08",327.6,331.7,24260,5452.5
"2021-09-09",324.57,326.01,23980,5323
"2021-09-10",326.43,326.25,24508,5318.5
"2021-09-13",332.75,327.41,24492,5434.5
"2021-09-14",338.98,326.48,24044,5378
"2021-09-15",343.34,333.51,23978,5501.5
"2021-09-16",338.5,326.99,23484,5714.5
"2021-09-17",334.5,329.56,23256,5727.5
"2021-09-20",325.7,326.92,22510,5630.5
"2021-09-21",335.3,323.25,22662,5623.5
"2021-09-22",340.59,327.8,23150,5655.5
"2021-09-23",343.47,327.02,23096,5941
"2021-09-24",344.29,325.44,22856,5944.5
"2021-09-27",355.19,331.68,22712,5954.5
"2021-09-28",354.07,329.3,22324,5906.5
"2021-09-29",360.88,328.43,22218,6027.5
"2021-09-30",360.8,340.99,21830,6060
"2021-10-01",363.25,338.48,22122,6014
"2021-10-04",376.06,345.85,21636,5985.5
"2021-10-05",389.82,363.2,21818,6245
"2021-10-06",381.3,364.28,21524,6240.5
"2021-10-07",370.7,368.93,22272,6339.5
"2021-10-08",366.17,373.01,22766,6300
"2021-10-11",369.81,387.6,22644,6350
"2021-10-12",364.1,377.79,22528,6475.5
"2021-10-13",362.77,378.8,22718,6401
"2021-10-14",367,376.09,22928,6358
"2021-10-15",367.76,371.82,23108,6270.5
"2021-10-18",363.5,364.6,23120,6270
"2021-10-19",368.83,373.18,23672,6361
"2021-10-20",369.97,370.16,23530,6307.5
"2021-10-21",363.37,364.6,23210,6158
"2021-10-22",358.12,364.37,22864,6315.5
"2021-10-25",364.84,369.99,23024,6465
"2021-10-26",364.82,372.16,22688,6570.5
"2021-10-27",362.17,371.36,22250,6668
"2021-10-28",353.21,365.36,22362,6635
"2021-10-29",350.18,356.14,22170,6472
"2021-11-01",359.1,370.96,22396,6536
"2021-11-02",352.48,370.7,22134,6656
"2021-11-03",353.02,370.13,22038,6712
"2021-11-05",350.6,360.21,21664,6793.5
"2021-11-08",351.47,358.39,21872,6859.5
"2021-11-09",349.46,357.44,22188,6729.5
"2021-11-10",345.8,348.65,21694,6594
"2021-11-11",347.44,356.24,22050,6779
"2021-11-12",333.6,347.59,22100,6568.5
"2021-11-15",340.3,344.39,22358,6499.5
"2021-11-16",336.79,337.91,22626,6551
"2021-11-17",349.98,339.89,22532,6405
"2021-11-18",345.56,336.93,22292,5945.5
"2021-11-19",337.62,327.56,22144,6014
"2021-11-22",319.2,309.15,21850,5789.5
"2021-11-23",341.77,326.84,22400,5917
"2021-11-24",338.3,321.22,22182,5875
"2021-11-25",337.55,317.29,22128,6056
"2021-11-26",326,304.42,21560,5775.5
"2021-11-29",339.2,316.57,21686,5898.5
"2021-11-30",334.24,315,21538,5733
"2021-12-01",345.21,324.4,21952,5768
"2021-12-02",350.3,326.8,22110,5789
"2021-12-03",345.99,320.66,21826,5715.5
"2021-12-06",338.94,307.5,21886,5650
"2021-12-07",344.96,309.79,21920,5841.5
"2021-12-08",340.5,296.95,21888,5765
"2021-12-09",336.6,300.4,22006,5908
"2021-12-10",332,297.44,21888,5822.5
"2021-12-13",307.26,280.64,20850,5637
"2021-12-14",319.35,284.9,20958,5670
"2021-12-15",324.09,286.65,21296,5700
"2021-12-16",328.39,295.89,21310,5752
"2021-12-17",327.3,294.9,21738,5674.5
"2021-12-20",325.9,288.4,21644,5533.5
"2021-12-21",339.88,291.7,21662,5521.5
"2021-12-22",345.55,294,21834,5551
"2021-12-23",339.81,292.8,21872,5538.5
"2021-12-24",338.79,293.89,21824,5592.5
"2021-12-27",343.97,295.68,22528,5665.5
"2021-12-28",343.23,295,22642,5658
"2021-12-29",340.33,293.51,22628,5446
"2021-12-30",342.39,293.49,22900,5444
"2022-01-03",353.73,305.47,23378,5509.5
"2022-01-04",352.55,304.24,23314,5565
"2022-01-05",335,287.01,23010,5399
"2022-01-06",346.13,293.92,23280,5535
"2022-01-07",NA,NA,NA,NA
"2022-01-10",344,291.69,23508,5473
"2022-01-11",343.74,291.88,23734,5505.5
"2022-01-12",347.43,290.4,24040,5623
"2022-01-13",337.6,272.5,22836,5330
"2022-01-14",335.76,261,22648,5235.5
"2022-01-17",327.81,257.78,21820,5185.5
"2022-01-18",301.11,234.7,20694,4973
"2022-01-19",318.36,244.86,22024,5040
"2022-01-20",310.42,254.61,22300,4991
"2022-01-21",311.6,246.9,22100,5046.5
"2022-01-24",294.59,236.97,21250,4823.5
"2022-01-25",302.96,239.59,21466,4895
"2022-01-26",299.6,236.9,21788,4768.5
"2022-01-27",325.25,254.29,22066,4883.5
"2022-01-28",329.58,257.82,22082,4904
"2022-01-31",334.8,269.42,21916,5079
"2022-02-01",330.95,264.7,21948,5114
"2022-02-02",331.7,261,21670,5200
"2022-02-03",323.75,250.79,21392,5187
"2022-02-04",324.6,256.53,21400,5285
"2022-02-07",321.25,257.61,21580,5210
"2022-02-08",331.7,269.8,22372,5182
"2022-02-09",335.08,279.09,22674,5254
"2022-02-10",328.93,275.2,22454,5227.5
"2022-02-11",318.1,260.83,21688,4971.5
"2022-02-14",321.85,256.7,22082,4956.5
"2022-02-15",333.6,274,22324,5239
"2022-02-16",336.5,277.78,22304,5395
"2022-02-17",323.51,260.58,21774,5224.5
"2022-02-18",309.48,250.28,21450,5041.5
"2022-02-21",257.3,201,19252,4240
"2022-02-22",283.51,208.53,21150,4600
"2022-02-23",NA,NA,NA,NA
"2022-02-24",210,132.18,18200,3312
"2022-02-25",228,131.12,19052,3202
"2022-02-28",NA,NA,NA,NA
"2022-03-01",NA,NA,NA,NA
"2022-03-02",NA,NA,NA,NA
"2022-03-03",NA,NA,NA,NA
"2022-03-04",NA,NA,NA,NA
"2022-03-09",NA,NA,NA,NA
"2022-03-10",NA,NA,NA,NA
"2022-03-11",NA,NA,NA,NA
"2022-03-14",NA,NA,NA,NA
"2022-03-15",NA,NA,NA,NA
"2022-03-16",NA,NA,NA,NA
"2022-03-17",NA,NA,NA,NA
"2022-03-18",NA,NA,NA,NA
"2022-03-21",NA,NA,NA,NA
"2022-03-22",NA,NA,NA,NA
"2022-03-23",NA,NA,NA,NA
"2022-03-24",258.51,136.24,20990,3457.5
"2022-03-25",227,131.5,21070,3338
"2022-03-28",218.6,125,20850,3337.5
"2022-03-29",208,128.77,20028,3405.5
"2022-03-30",216,134.6,20462,3855
"2022-03-31",242.48,143.69,20974,4155
"2022-04-01",251.4,154.5,21500,4220
"2022-04-04",252.9,166,21750,4273.5
"2022-04-05",243.5,154.1,20986,4098
"2022-04-06",239.7,141.6,21150,4120
"2022-04-07",245,147.5,21050,4247
"2022-04-08",241.07,143.72,21112,4335
"2022-04-11",234.55,138.69,21006,4310
"2022-04-12",236.3,135.38,20990,4297.5
"2022-04-13",234.87,135.5,20794,4256.5
"2022-04-14",222.11,129.05,20004,4017
"2022-04-15",224,130.88,20240,4070.5
"2022-04-18",216.99,123.85,19886,4000
"2022-04-19",220.72,120.3,19676,4038
"2022-04-20",218.92,121.5,20590,4300
"2022-04-21",210.29,118.65,20454,4197.5
"2022-04-22",208,116.97,19700,4170
"2022-04-25",206.35,111.9,19900,4299.5
"2022-04-26",225.85,122.36,20994,4460
"2022-04-27",237.15,131.11,21272,4720
"2022-04-28",237.53,123.85,21000,4566.5
"2022-04-29",240.4,128.8,21550,4592.5
"2022-05-04",234.16,123.2,21352,4651
"2022-05-05",238.6,124.8,21544,4741
"2022-05-06",240.1,123.1,21766,4750
"2022-05-11",241.99,123.34,21330,4805
"2022-05-12",230.56,119.15,21238,4720
"2022-05-13",235.52,120.2,21200,4637
"2022-05-16",244.2,123.41,21364,4790.5
"2022-05-17",258.8,127.75,21348,4828.5
"2022-05-18",264.84,125.12,21416,4890
"2022-05-19",266.68,125.6,21300,4885
"2022-05-20",263,122.2,20700,4620
"2022-05-23",263,119.46,19800,4475.5
"2022-05-24",265.8,123.6,20010,4350
"2022-05-25",271.4,124.15,20080,4576
"2022-05-26",295.89,123,20198,4610
"2022-05-27",294.5,121.22,20162,4520
"2022-05-30",300.8,120.67,20132,4622
"2022-05-31",293.75,118.3,20190,4640
"2022-06-01",297.69,121.97,20416,4586.5
"2022-06-02",296,119,20154,4448
"2022-06-03",297,119.21,20314,4382
"2022-06-06",296.5,118.78,20294,4223.5
"2022-06-07",297.99,118.32,20200,4420
"2022-06-08",308,119.9,20134,4338
"2022-06-09",306.5,118.2,20310,4300
"2022-06-10",309.2,118.07,19490,4241
"2022-06-14",317.69,118.98,19102,4200
"2022-06-15",316.2,121.14,19040,4257
"2022-06-16",316.99,123.73,19370,4393
"2022-06-17",315.5,123.88,19194,4319
"2022-06-20",311.98,131.29,19180,4370
"2022-06-21",301.58,129.1,18820,4365
"2022-06-22",295.8,133.11,18940,4458
"2022-06-23",303.5,136.85,19100,4405
"2022-06-24",296,137.76,18934,4359
"2022-06-27",296.2,141.15,18586,4360
"2022-06-28",297.2,139.99,18252,4327
"2022-06-29",297.65,132.8,17652,4316
"2022-06-30",207,125.2,17400,4238
"2022-07-01",192.5,129.91,17100,4155
"2022-07-04",186.25,131.43,17024,4198
"2022-07-05",197.3,133.5,16700,4314
"2022-07-06",195.42,134,16452,4306
"2022-07-07",197.92,133.09,16550,4420
"2022-07-08",198,133.3,16720,4439
"2022-07-11",188.9,126.8,16270,4385
"2022-07-12",191.4,129,15922,4300
"2022-07-13",186,126,15200,4255.5
"2022-07-14",184.55,125.9,15302,4228
"2022-07-15",187.61,128.9,15600,4380
"2022-07-18",186.7,128.11,15282,4382
"2022-07-19",189.51,127.76,14914,4355
"2022-07-20",193.3,126.44,15050,4315
"2022-07-21",189.59,125.48,14800,4251
"2022-07-22",192.25,128.82,14730,4341
"2022-07-25",192,131.45,14794,4345
"2022-07-26",193.95,132.9,15850,4512
"2022-07-27",196.49,132.5,15640,4630
"2022-07-28",196.25,131.72,15500,4765.5
"2022-07-29",195.26,131.9,16150,4889
"2022-08-01",192,127.34,15590,4800
"2022-08-02",187.16,127.53,15140,4813
"2022-08-03",187.04,126.85,14754,4910
"2022-08-04",184.9,126.95,14710,4883
"2022-08-05",176.58,122.4,14394,4799.5
"2022-08-08",177.86,123.81,14458,4880
"2022-08-09",181.04,126.4,15150,5032.5
"2022-08-10",178.81,126.2,14970,5024
"2022-08-11",174.1,123.45,14908,5002.5
"2022-08-12",174.36,124.88,14826,5134
"2022-08-15",174.8,125,15142,5159.5
"2022-08-16",181.3,126.39,15444,5177
"2022-08-17",176.5,124.5,15370,5270
"2022-08-18",178.87,126.3,15160,5350
"2022-08-19",177.6,125.2,15330,5245
"2022-08-22",181.7,126.06,15430,5302
"2022-08-23",184.3,130.38,15592,5319
"2022-08-24",182.83,128.15,15458,5393
"2022-08-25",181.9,128.18,15384,5440
"2022-08-26",183.62,130.4,15392,5459.5
"2022-08-29",190,131.17,15594,5450
"2022-08-30",204,130.05,15650,5450
"2022-08-31",254.9,134.25,16140,5490.5
"2022-09-01",249.11,138.2,16600,5399
"2022-09-02",252.8,143.8,16746,5485.5
"2022-09-05",250,141,17000,5600
"2022-09-06",246,137.23,16604,5510
"2022-09-07",241.55,136.86,16222,5490
"2022-09-08",243.95,134.51,16244,5433
"2022-09-09",245.34,138.15,16740,5499
"2022-09-12",243.3,138.7,16756,5575
"2022-09-13",242.64,137,16432,5594
"2022-09-14",243.32,138.9,16214,5558
"2022-09-15",243.68,139.48,16212,5555.5
"2022-09-16",243.8,137.73,16228,5582
"2022-09-19",244.21,138.04,16016,5505
"2022-09-20",221.15,125.1,15260,5222.5
"2022-09-21",214.07,120.23,14776,4904.5
"2022-09-22",231.45,124.31,14794,5015
"2022-09-23",224.84,119.39,14148,4889
"2022-09-26",206,107.06,12850,4474
"2022-09-27",217.3,112.92,13278,4481.5
"2022-09-28",217.38,111.06,12930,4750
"2022-09-29",226.46,110.41,12338,4537.5
"2022-09-30",217.7,110.21,12458,4722
"2022-10-03",215.83,114.35,13186,5008
"2022-10-04",210.72,110.55,12956,4906.5
"2022-10-05",209.05,108.51,12516,4784.5
"2022-10-06",212.86,108.24,12400,4719.5
"2022-10-07",195.15,101.5,11932,4546
"2022-10-10",163.89,106.71,12500,4645
"2022-10-11",162.89,107.72,12794,4838
"2022-10-12",161.8,105.9,12698,4772
"2022-10-13",160.84,106.5,12616,4772.5
"2022-10-14",159.6,107.78,12640,4810
"2022-10-17",163.24,112.44,13246,5060.5
"2022-10-18",160.2,110.88,13222,4918.5
"2022-10-19",161.29,112.39,13018,4961
"2022-10-20",160.75,116.98,13084,5011.5
"2022-10-21",166.99,119.45,13160,5164
"2022-10-24",165.47,118.8,13152,5196.5
"2022-10-25",172.38,124.36,13470,5315
"2022-10-26",171.98,124.43,13136,5270
"2022-10-27",172.47,126.61,13266,5247
"2022-10-28",170.73,126.97,13548,5269
"2022-10-31",170.27,126.72,13758,5237
"2022-11-01",169.92,127.05,13624,5249.5
"2022-11-02",167.72,125.49,13404,5170
"2022-11-03",169.14,125.75,13406,5183
"2022-11-07",169.85,132,14070,5208.5
"2022-11-08",169.97,131.29,13968,5165
"2022-11-09",167.1,127.3,13720,5027.5
